experiment,mouse_id,organ,sample,treatment,PC1,PC2
EAE12,1,SC-dLNs flow,PBS_mouse no 1,PBS,-2.337450970131956,1.4951458867228475
EAE12,2,SC-dLNs flow,PBS_mouse no 4,PBS,-2.7791836282893527,1.3645566818462591
EAE12,3,SC-dLNs flow,PBS_mouse no 10,PBS,-1.3860346015693046,-0.07894839686826688
EAE12,4,SC-dLNs flow,PBS_mouse no 14,PBS,-3.5070240696131667,2.864466979191256
EAE12,5,SC-dLNs flow,PBS_mouse no 20,PBS,-4.105969193771224,0.8617274766309723
EAE12,6,SC-dLNs flow,PBS_mouse no 25,PBS,-1.7559649385440967,-1.6557609056728613
EAE12,7,SC-dLNs flow,PBS_mouse no 29,PBS,-2.215611921252949,-2.1365767747421796
EAE12,8,SC-dLNs flow,PBS_mouse no 32,PBS,-2.777036905553844,0.14610130321203066
EAE12,9,SC-dLNs flow,PBS_mouse no 35,PBS,-2.098040431513861,-0.49044111727537426
EAE12,10,SC-dLNs flow,PBS_mouse no 44,PBS,-1.3815888015942448,-3.1089633910208714
EAE12,11,SC-dLNs flow,PBS_mouse no 48,PBS,-2.734146549517964,-0.3795250014508716
EAE12,1,SC-dLNs flow,SA IL-33_mouse no 8,SA IL-33,4.028564595433871,2.1044729677401155
EAE12,2,SC-dLNs flow,SA IL-33_mouse no 16,SA IL-33,2.315741840040479,1.3311696205450263
EAE12,3,SC-dLNs flow,SA IL-33_mouse no 18,SA IL-33,1.8803550898987043,-0.187469436939737
EAE12,4,SC-dLNs flow,SA IL-33_mouse no 19,SA IL-33,2.2297199151813882,0.6582335972854434
EAE12,5,SC-dLNs flow,SA IL-33_mouse no 24,SA IL-33,3.1180361682407964,-1.1262449481524555
EAE12,6,SC-dLNs flow,SA IL-33_mouse no 26,SA IL-33,2.846655530605009,-1.7302302137163401
EAE12,7,SC-dLNs flow,SA IL-33_mouse no 33,SA IL-33,1.7051469155660806,0.16614963855932333
EAE12,8,SC-dLNs flow,SA IL-33_mouse no 34,SA IL-33,1.2247910765272851,-1.574775836089441
EAE12,9,SC-dLNs flow,SA IL-33_mouse no 40,SA IL-33,2.805752848829653,-0.538053522228682
EAE12,10,SC-dLNs flow,SA IL-33_mouse no 43,SA IL-33,3.189542602512477,1.7771212155434928
EAE12,11,SC-dLNs flow,SA IL-33_mouse no 45,SA IL-33,1.7337454285162361,0.23784417688028983
